CI ID,Node IP Address,Node Hostname,Resource IP Address,Resource Name,Operational Status,Resource Type,Resource Description,Resource Alias,Poll Period,Polling,Tags,Bandwidth Configured,Link Id,Link Name,Link Mode,ISP Name,Link Bundle Name,Link Bundle Capacity (Mbps),Requesters
"""129721414790553800757""",10.201.0.45,EKM_KARIMPAN_PRI.federalbank.co.in,10.100.30.173,Gi0/5,UP,Ethernet,GigabitEthernet0/5,***Bsnl 4 Mbps***,300,Enabled,BSNL;Quadtri,,,,Primary,,,,
"""131322489294321356824""",10.250.85.105,CISCO-SW-ARISTA-MGMT1.federalbank.co.in,,Gi1/0/10,UP,Ethernet,GigabitEthernet1/0/10,STRING:,300,Enabled,,,,,Primary,,,,
"""131322489294321356828""",10.250.85.105,CISCO-SW-ARISTA-MGMT1.federalbank.co.in,,Gi1/0/12,UP,Ethernet,GigabitEthernet1/0/12,STRING:,300,Enabled,,,,,Primary,,,,
"""131322489294321356830""",10.250.85.105,CISCO-SW-ARISTA-MGMT1.federalbank.co.in,,Gi1/0/13,UP,Ethernet,GigabitEthernet1/0/13,STRING:,300,Enabled,,,,,Secondary,,,,
"""131322489294321356874""",10.250.85.105,CISCO-SW-ARISTA-MGMT1.federalbank.co.in,,Gi1/0/35,UP,Ethernet,GigabitEthernet1/0/35,STRING:,300,Enabled,,,,,Primary,,,,
"""131322489294321356876""",10.250.85.105,CISCO-SW-ARISTA-MGMT1.federalbank.co.in,,Gi1/0/36,UP,Ethernet,GigabitEthernet1/0/36,STRING:,300,Enabled,,,,,Secondary,,,,
"""131295102557764981085""",115.247.212.162,EpiFI-BGR-FortiGate-80F-Bypass,115.247.212.162,ISP01_Switch,UP,Transparent bridge interface,STRING:,JIO,300,Enabled,Critical;Reliance JIO,,,,Primary,,,,
"""130194329981546402110""",59.145.216.238,Jupiter-Pune-Secondary-Firewall,59.145.216.238,ISP_01,UP,Transparent bridge interface,STRING:,Airtel_ILL_400Mbps,300,Enabled,Airtel;Critical,,,,Primary,,,,
"""130194329981546402112""",59.145.216.238,Jupiter-Pune-Secondary-Firewall,,internal1,UP,Ethernet,STRING:,STRING:,300,Enabled,Critical;Firewall,,,,Secondary,,,,
"""125324709767655985290""",10.200.204.5,HO-MKTING-LCD-IRMD-VC-4F-4B-SW2,,01-01-2023,UP,Ethernet,01-01-2023,STRING:,300,Enabled,,,,,Primary,,,,
"""130809647092254904506""",10.200.203.3,HO-3F-3B-SW01.federalbank.co.in,,Gi1/0/22,UP,Ethernet,GigabitEthernet1/0/22,\--- wap 10.200.240.33---,300,Enabled,,,,,Primary,,,,
"""130809647092254904508""",10.200.203.3,HO-3F-3B-SW01.federalbank.co.in,,Gi1/0/23,UP,Ethernet,GigabitEthernet1/0/23,\--- WAP-240.34 ---,300,Enabled,,,,,Secondary,,,,
"""130809647092254904526""",10.200.203.3,HO-3F-3B-SW01.federalbank.co.in,,Gi1/0/32,DOWN,Ethernet,GigabitEthernet1/0/32,STRING:,300,Enabled,,,,,Primary,,,,
"""130809647092254904542""",10.200.203.3,HO-3F-3B-SW01.federalbank.co.in,,Gi1/0/40,UP,Ethernet,GigabitEthernet1/0/40,STRING:,300,Enabled,,,,,Primary,,,,
"""128504695536252621084""",10.200.202.243,ALW_HO_HR_2F_A_SW.federalbank.co.in,,Gi1/0/17,UP,Ethernet,GigabitEthernet1/0/17,STRING:,300,Enabled,,,,,Primary,,,,
"""128504695536252621096""",10.200.202.243,ALW_HO_HR_2F_A_SW.federalbank.co.in,,Gi1/0/23,UP,Ethernet,GigabitEthernet1/0/23,\--- uplink to switch-10.200.202.5 ---,300,Enabled,,,,,Primary,,,,
"""128504695536252621126""",10.200.202.243,ALW_HO_HR_2F_A_SW.federalbank.co.in,,Gi1/0/38,UP,Ethernet,GigabitEthernet1/0/38,STRING:,300,Enabled,,,,,Primary,,,,
"""128504695536252621138""",10.200.202.243,ALW_HO_HR_2F_A_SW.federalbank.co.in,,Gi1/0/44,UP,Ethernet,GigabitEthernet1/0/44,STRING:,300,Enabled,,,,,Primary,,,,
"""128504695536252621144""",10.200.202.243,ALW_HO_HR_2F_A_SW.federalbank.co.in,,Gi1/0/47,UP,Ethernet,GigabitEthernet1/0/47,STRING:,300,Enabled,,,,,Primary,,,,
"""130240336282604539922""",10.200.203.2,ALW_HO_3A_SWITCH,,Gi1/0/4,UP,Ethernet,GigabitEthernet1/0/4,STRING:,300,Enabled,,,,,Primary,,,,
"""130240336282604539948""",10.200.203.2,ALW_HO_3A_SWITCH,,Gi1/0/17,UP,Ethernet,GigabitEthernet1/0/17,STRING:,300,Enabled,,,,,Secondary,,,,
"""130434118470612291823""",10.200.207.3,HO-SW-8A.federalbank.co.in,,Te1/1/2,UP,Ethernet,TenGigabitEthernet1/1/2,\--- Trunk to HO-CORE-Twe2/0/8 -HA link ---,300,Enabled,,,,,Primary,,,,
